name,parent,child,axis,lower_deg,upper_deg,torque_cap_Nm,speed_cap_rad_s,kp_Nm_per_rad,kd_Nms_per_rad,physx_friction,actuator_basis
left_ring_pip,left_ring_mcp_link,left_ring_pip_link,Y,-100,0,0.05,2.5,0.8,0.025,0.02,XL330-M288 remote tendon equivalent
left_ring_dip,left_ring_pip_link,left_ring_dip_link,Y,-75,0,0.025,2.5,0.5,0.015,0.02,XL330-M288 remote tendon equivalent
left_little_mcp,left_hand,left_little_mcp_link,Y,-85,10,0.08,2.5,1.3,0.035,0.02,XL330-M288 remote tendon equivalent
left_little_pip,left_little_mcp_link,left_little_pip_link,Y,-100,0,0.05,2.5,0.8,0.025,0.02,XL330-M288 remote tendon equivalent
left_little_dip,left_little_pip_link,left_little_dip_link,Y,-75,0,0.025,2.5,0.5,0.015,0.02,XL330-M288 remote tendon equivalent
left_thumb_opposition,left_hand,left_thumb_cmc_link,Z,-65,65,0.1,2.0,1.5,0.04,0.02,XL330-M288 remote tendon equivalent
left_thumb_spread,left_thumb_cmc_link,left_thumb_spread_link,X,-40,40,0.08,2.0,1.0,0.03,0.02,XL330-M288 remote tendon equivalent
left_thumb_mcp,left_thumb_spread_link,left_thumb_mcp_link,Y,-75,10,0.07,2.0,1.0,0.03,0.02,XL330-M288 remote tendon equivalent
left_thumb_ip,left_thumb_mcp_link,left_thumb_ip_link,Y,-80,0,0.04,2.0,1.0,0.03,0.02,XL330-M288 remote tendon equivalent
right_hip_yaw,pelvis,right_hip_yaw_link,Z,-40,40,30,5.0,320,10,0.03,custom high-torque drive
right_hip_roll,right_hip_yaw_link,right_hip_roll_link,X,-40,40,55,5.0,550,16,0.03,custom high-torque drive
right_hip_pitch,right_hip_roll_link,right_thigh,Y,-105,60,65,5.0,600,18,0.03,custom high-torque drive
right_knee,right_thigh,right_shin,Y,0,145,65,5.0,650,18,0.03,custom high-torque drive
right_ankle_pitch,right_shin,right_ankle_pitch_link,Y,-60,50,40,5.0,500,12,0.03,custom high-torque drive
right_ankle_roll,right_ankle_pitch_link,right_foot,X,-35,35,35,5.0,500,12,0.03,custom high-torque drive
right_shoulder_pitch,torso,right_shoulder_pitch_link,Y,-110,95,4.0,2.0,95,3.5,0.04,XM540-W270
right_shoulder_roll,right_shoulder_pitch_link,right_shoulder_roll_link,X,-80,80,4.0,2.0,90,3.2,0.04,XM540-W270
right_shoulder_yaw,right_shoulder_roll_link,right_upper_arm,Z,-100,100,3.5,2.0,65,2.2,0.04,XM540-W270
right_elbow,right_upper_arm,right_forearm,Y,-135,0,1.5,3.0,55,1.8,0.04,XM430-W350
right_forearm_roll,right_forearm,right_forearm_roll_link,Z,-110,110,1.0,3.0,40,1.0,0.04,XM430-W350
right_wrist_pitch,right_forearm_roll_link,right_wrist_pitch_link,Y,-65,65,0.85,3.0,20,0.6,0.04,XM430-W350
right_wrist_roll,right_wrist_pitch_link,right_hand,X,-35,35,0.65,3.0,15,0.4,0.04,XM430-W350
right_index_mcp,right_hand,right_index_mcp_link,Y,-85,10,0.08,2.5,1.3,0.035,0.02,XL330-M288 remote tendon equivalent
right_index_pip,right_index_mcp_link,right_index_pip_link,Y,-100,0,0.05,2.5,0.8,0.025,0.02,XL330-M288 remote tendon equivalent
right_index_dip,right_index_pip_link,right_index_dip_link,Y,-75,0,0.025,2.5,0.5,0.015,0.02,XL330-M288 remote tendon equivalent
right_middle_mcp,right_hand,right_middle_mcp_link,Y,-85,10,0.08,2.5,1.3,0.035,0.02,XL330-M288 remote tendon equivalent
right_middle_pip,right_middle_mcp_link,right_middle_pip_link,Y,-100,0,0.05,2.5,0.8,0.025,0.02,XL330-M288 remote tendon equivalent
right_middle_dip,right_middle_pip_link,right_middle_dip_link,Y,-75,0,0.025,2.5,0.5,0.015,0.02,XL330-M288 remote tendon equivalent
right_ring_mcp,right_hand,right_ring_mcp_link,Y,-85,10,0.08,2.5,1.3,0.035,0.02,XL330-M288 remote tendon equivalent
right_ring_pip,right_ring_mcp_link,right_ring_pip_link,Y,-100,0,0.05,2.5,0.8,0.025,0.02,XL330-M288 remote tendon equivalent
right_ring_dip,right_ring_pip_link,right_ring_dip_link,Y,-75,0,0.025,2.5,0.5,0.015,0.02,XL330-M288 remote tendon equivalent
right_little_mcp,right_hand,right_little_mcp_link,Y,-85,10,0.08,2.5,1.3,0.035,0.02,XL330-M288 remote tendon equivalent
right_little_pip,right_little_mcp_link,right_little_pip_link,Y,-100,0,0.05,2.5,0.8,0.025,0.02,XL330-M288 remote tendon equivalent
right_little_dip,right_little_pip_link,right_little_dip_link,Y,-75,0,0.025,2.5,0.5,0.015,0.02,XL330-M288 remote tendon equivalent
right_thumb_opposition,right_hand,right_thumb_cmc_link,Z,-65,65,0.1,2.0,1.5,0.04,0.02,XL330-M288 remote tendon equivalent
right_thumb_spread,right_thumb_cmc_link,right_thumb_spread_link,X,-40,40,0.08,2.0,1.0,0.03,0.02,XL330-M288 remote tendon equivalent
right_thumb_mcp,right_thumb_spread_link,right_thumb_mcp_link,Y,-75,10,0.07,2.0,1.0,0.03,0.02,XL330-M288 remote tendon equivalent
right_thumb_ip,right_thumb_mcp_link,right_thumb_ip_link,Y,-80,0,0.04,2.0,1.0,0.03,0.02,XL330-M288 remote tendon equivalent
